topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,16,1.7,0.3,3,0,0.3671335,0.4776501485096762,6.1211018562316895
BA,16,1.7,0.3,4,0,0.350604,0.46586959222737995,6.005981922149658
BA,16,1.5,0.3,1,1,0.12782799999999997,0.06532370131647632,1.3258349895477295
BA,16,1.5,0.3,2,1,0.43896900000000005,0.4275854542587765,4.064483165740967
BA,16,1.5,0.3,3,1,0.560166,0.4531940836400182,7.461004018783569
BA,16,1.5,0.3,4,1,0.518608,0.45263101598031086,8.596817970275879
BA,16,1.7,0.3,1,1,0.037285,0.04304074856275277,0.8024098873138428
BA,16,1.7,0.3,2,1,0.2665735,0.43550441820557806,2.4547510147094727
BA,16,1.7,0.3,3,1,0.42214,0.48509461331080345,6.927516937255859
BA,16,1.7,0.3,4,1,0.48197149999999994,0.4825381310624172,7.038800001144409
BA,16,1.5,0.3,1,2,0.149627,0.1411944386894969,1.205599069595337
BA,16,1.5,0.3,2,2,0.4440235,0.4138624254924258,3.663532018661499
BA,16,1.5,0.3,3,2,0.7237265,0.39123063830720517,7.3566200733184814
BA,16,1.5,0.3,4,2,0.4898355,0.45225351520527324,7.927777051925659
BA,16,1.7,0.3,1,2,0.0532455,0.04511092917814694,0.8060381412506104
BA,16,1.7,0.3,2,2,0.21370750000000002,0.4045589404703271,2.886427164077759
BA,16,1.7,0.3,3,2,0.426559,0.48192542467306676,6.187222003936768
BA,16,1.7,0.3,4,2,0.43278350000000004,0.4765234509530018,6.940771818161011
BA,16,1.5,0.3,1,3,0.1275795,0.061867108298436946,1.2133400440216064
BA,16,1.5,0.3,2,3,0.4378685000000001,0.4266085321928488,3.269242286682129
BA,16,1.5,0.3,3,3,0.5222635000000001,0.4461651746332588,11.823899030685425
BA,16,1.5,0.3,4,3,0.5809900000000001,0.430877488364091,7.881314992904663
BA,16,1.7,0.3,1,3,0.04875150000000001,0.03660512953341233,0.7714030742645264
BA,16,1.7,0.3,2,3,0.1821395,0.35433439790943544,2.7548351287841797
BA,16,1.7,0.3,3,3,0.37089849999999996,0.47485831605775897,6.63771390914917
BA,16,1.7,0.3,4,3,0.28563599999999995,0.4248042950323063,6.765954256057739
BA,16,1.5,0.3,1,4,0.187772,0.1164818588812054,1.0560588836669922
BA,16,1.5,0.3,2,4,0.4920915,0.43456152358652517,3.6768698692321777
BA,16,1.5,0.3,3,4,0.56736,0.45212828640599456,8.209046125411987
BA,16,1.5,0.3,4,4,0.6272685,0.4302792081314913,8.218195915222168
BA,16,1.7,0.3,1,4,0.04587100000000001,0.056586615480862155,0.7554428577423096
BA,16,1.7,0.3,2,4,0.22977749999999997,0.39808363301242167,2.8939199447631836
BA,16,1.7,0.3,3,4,0.43301,0.477382736000768,7.217979907989502
BA,16,1.7,0.3,4,4,0.433629,0.47751556447380517,6.400864839553833
BA,16,1.5,0.3,1,5,0.11796200000000001,0.14616468961594764,1.2428970336914062
BA,16,1.5,0.3,2,5,0.482906,0.44583500010654165,3.2381558418273926
BA,16,1.5,0.3,3,5,0.6539170000000001,0.45535764179147664,8.432677984237671
BA,16,1.5,0.3,4,5,0.5887915,0.4685150801288662,7.745575189590454
BA,16,1.7,0.3,1,5,0.02451,0.040080495059449134,0.893150806427002
BA,16,1.7,0.3,2,5,0.2210665,0.40099560202700485,2.6314539909362793
BA,16,1.7,0.3,3,5,0.3676775,0.47702720567759965,6.326488018035889
BA,16,1.7,0.3,4,5,0.4593360000000001,0.5022967336608071,6.397517204284668
BA,16,1.5,0.3,1,6,0.10927849999999999,0.06936554265741669,0.9363808631896973
BA,16,1.5,0.3,2,6,0.29210100000000006,0.3666125306225547,3.1052870750427246
BA,16,1.5,0.3,3,6,0.5967735,0.45782760482493495,7.512730836868286
