topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,defect,2.0,0.7,4,2,0.5533258999999999,0.09459535158561473,33.75656795501709
BA,4,defect,2.0,0.7,1,3,0.6227585,0.07107126044586262,3.9669082164764404
BA,4,defect,2.0,0.7,4,3,0.6127138000000001,0.11429949710274055,30.138278245925903
BA,4,defect,2.0,0.7,1,4,0.5863955999999999,0.0374520067922625,3.884438991546631
BA,4,defect,2.0,0.7,4,4,0.5874187000000001,0.03669491035235917,29.763277053833008
BA,4,defect,2.0,0.7,1,5,0.5310118,0.10123898662515783,4.028691053390503
BA,4,defect,2.0,0.7,4,5,0.5403783,0.09389444188168287,31.749083280563354
BA,4,defect,2.0,0.7,1,6,0.5818892,0.02062794841760062,3.6239330768585205
BA,4,defect,2.0,0.7,4,6,0.5804228,0.022271239826151094,27.984214067459106
BA,4,defect,2.0,0.7,1,7,0.6527388000000001,0.028919553878392616,3.7396209239959717
BA,4,defect,2.0,0.7,4,7,0.6540277,0.02784832395642183,30.013941049575806
BA,4,defect,2.0,0.7,1,8,0.5889274999999999,0.022034803846541412,3.9054670333862305
BA,4,defect,2.0,0.7,4,8,0.5894614,0.025384569122507358,28.8368980884552
BA,4,defect,2.0,0.7,1,9,0.6361397000000001,0.0611556206598619,3.387104034423828
BA,4,defect,2.0,0.7,4,9,0.6367135,0.06128775307943055,26.140926837921143
BA,4,bistable,2.0,0.5,1,0,0.5740031,0.0627211697011206,3.7247421741485596
BA,4,bistable,2.0,0.5,4,0,0.7498239000000001,0.2212579778389101,23.367735862731934
BA,4,bistable,2.0,0.5,1,1,0.6179849000000001,0.036269303700222744,4.303548812866211
BA,4,bistable,2.0,0.5,4,1,0.7883861999999999,0.19034546581179995,27.57779622077942
BA,4,bistable,2.0,0.5,1,2,0.5646933999999999,0.04800294345394276,4.164355039596558
BA,4,bistable,2.0,0.5,4,2,0.7096111999999999,0.2363757750550781,29.272464990615845
BA,4,bistable,2.0,0.5,1,3,0.6185957999999999,0.09506806702589678,3.8862130641937256
BA,4,bistable,2.0,0.5,4,3,0.7522823,0.19212411059108153,217.60260200500488
BA,4,bistable,2.0,0.5,1,4,0.5863362,0.03872462385207698,4.37160587310791
BA,4,bistable,2.0,0.5,4,4,0.7311761,0.2156826144770752,28.285522937774658
BA,4,bistable,2.0,0.5,1,5,0.5318069000000001,0.10079926936458587,4.1264050006866455
BA,4,bistable,2.0,0.5,4,5,0.7301928,0.24276844528567595,26.021433115005493
BA,4,bistable,2.0,0.5,1,6,0.5819238999999999,0.02041045463417553,3.632061004638672
BA,4,bistable,2.0,0.5,4,6,0.717363,0.21265089778861274,24.973469972610474
BA,4,bistable,2.0,0.5,1,7,0.6544955,0.0284682099991474,3.5937659740448
BA,4,bistable,2.0,0.5,4,7,0.8179964000000001,0.1768722351378719,24.016849994659424
BA,4,bistable,2.0,0.5,1,8,0.5899826,0.025435993014751083,3.7619521617889404
BA,4,bistable,2.0,0.5,4,8,0.7889583000000002,0.20858136283312378,22.926295042037964
BA,4,bistable,2.0,0.5,1,9,0.6374814000000001,0.06083529559342498,3.3625640869140625
