topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,16,corr,1,bistable,1.6,0.0,5,0.47297089999999997,0.4725701303010138,4.073201894760132
BA,16,corr,1,bistable,1.6,0.0,6,0.6382180000000001,0.45773469201133,3.9620048999786377
BA,16,corr,1,bistable,1.6,0.0,7,0.6556422999999999,0.45522300389419523,3.955390214920044
BA,16,corr,1,bistable,1.6,0.0,8,0.6562698,0.4535087355032286,4.071926116943359
BA,16,corr,1,bistable,1.6,0.0,9,0.329517,0.42393030377836416,4.970003128051758
BA,16,corr,2,coop,1.0,0.0,0,0.9722974999999999,0.12174011573238855,13.65619683265686
BA,16,corr,2,coop,1.0,0.0,1,0.8934622999999999,0.14810535088687116,24.210265159606934
BA,16,corr,2,coop,1.0,0.0,2,0.9978149999999999,0.02185000000000002,12.05714201927185
BA,16,corr,2,coop,1.0,0.0,3,0.9985697,0.014303000000000019,12.559473276138306
BA,16,corr,2,coop,1.0,0.0,4,0.8691490999999999,0.23089866986110213,16.791685819625854
BA,16,corr,2,coop,1.0,0.0,5,1.0,0.0,11.29601001739502
BA,16,corr,2,coop,1.0,0.0,6,1.0,0.0,11.46186089515686
BA,16,corr,2,coop,1.0,0.0,7,0.8198862,0.20245371017393565,23.1898090839386
BA,16,corr,2,coop,1.0,0.0,8,1.0,0.0,11.824744939804077
